label	1st	2nd	3rd	4th	5th
ข้าวผัดพริกสดหมู	ข้าวผัดพริกสดไก่ (0.95)	ข้าวผัดพริกสดกุ้ง (0.94)	ข้าวผัดพริกสดปลาหมึก (0.93)	ข้าวผัดน้ำพริกเผาหมู (0.86)	ข้าวผัดเขียวหวานหมู (0.86)
ข้าวผัดพริกสดไก่	ข้าวผัดพริกสดหมู (0.95)	ข้าวผัดพริกสดปลาหมึก (0.93)	ข้าวผัดพริกสดกุ้ง (0.93)	ข้าวผัดน้ำพริกเผาไก่ (0.86)	ข้าวผัดเขียวหวานไก่ (0.86)
ข้าวผัดเขียวหวานหมู	ข้าวผัดหมู (0.98)	ข้าวผัดน้ำพริกเผาหมู (0.96)	แกงเขียวหวานหมู (0.92)	ข้าวผัดซีอิ๊วหมู (0.91)	แกงป่าหมู (0.90)
ข้าวผัดเขียวหวานเนื้อ	แกงเขียวหวานเนื้อ (0.92)	โรตีแกงเขียวหวานเนื้อ (0.89)	เนื้อแดดเดียว (0.88)	กะเพราเนื้อ (0.86)	แกงเขียวหวานเนื้อพริกขี้หนู (0.86)
ข้าวผัดเขียวหวานไก่	ข้าวผัดไก่ (0.98)	ข้าวผัดน้ำพริกเผาไก่ (0.96)	แกงเขียวหวานไก่ (0.91)	ข้าวผัดซีอิ๊วไก่ (0.91)	ข้าวผัดเขียวหวานหมู (0.90)
ข้าวราดหน้าเนื้อน้ำมันหอย	ข้าวราดหน้าหมูน้ำมันหอย (0.93)	เนื้อออสเตรเลียผัดน้ำมันหอย (0.87)	หมูน้ำมันหอย (0.85)	ข้าวราดกะเพราเนื้อปลากะพง (0.84)	ผักกาดขาวน้ำมันหอย (0.81)
ข้าวหน้าไก่	ข้าวหน้าไก่ทอดกระเทียม (0.82)	ข้าวหน้าหมูทอดกระเทียม (0.81)	ข้าวหน้ากุ้งทอดกระเทียม (0.80)	ข้าวหน้าปลาหมึกทอดกระเทียม (0.78)	ข้าวราดกะเพราไก่ (0.77)
ข้าวอบเห็ดหอม	เมี่ยงเห็ด (0.77)	ยำเห็ดฟาง (0.74)	เต้าหู้ผัดพริกกระเทียม (0.72)	ต้มยำเห็ดใส่ยอดมะพร้าวเจ (0.69)	หมูทอดกระเทียมพริกไทย (0.69)
ผัดไทยกุ้งสด	ส้มตำกุ้งสด (0.95)	แกงเลียงกุ้งสด (0.94)	ข้าวผัดพริกสดกุ้ง (0.90)	ยำคะน้ากุ้งสด (0.88)	ข้าวผัดพริกสดปลาหมึก (0.84)
ยำปลาดุกฟู	ต้มโคล้งปลาดุกฟู (0.93)	ปลาดุกฟูขี้เมากะเพรากรอบ (0.78)	ยำปลาหมึก (0.70)	ยำกุนเชียง (0.67)	ยำไส้กรอก (0.66)
ข้าวผัดน้ำพริกกะปิปลาทูทอด	น้ำพริกกะปิปลาทูทอด (0.98)	น้ำพริกกะปิ (0.86)	ปลาทูทอด (0.85)	แกงส้มปลาช่อน ทอด (0.84)	ปลาช่อนทอดส้มตำ (0.84)
ยำถั่วพลู	ยำมะม่วง (0.73)	ยำตะไคร้ (0.71)	ยำกุนเชียง (0.70)	ยำไส้กรอก (0.68)	ยำปลาหมึก (0.67)
ต้มยำเอ็นหมู	ยำเอ็นหมู (0.93)	แกงเขียวหวานหมู (0.79)	แกงป่าหมู (0.77)	ข้าวผัดเขียวหวานหมู (0.76)	ข้าวผัดหมู (0.76)
กุ้งผัดหน่อไม้ฝรั่ง	ผัดผักรวมมิตรกุ้ง (0.91)	กุ้งผัดหนำเลี๊ยบ (0.89)	ข้าวผัดกุ้ง (0.88)	ข้าวผัดน้ำพริกเผากุ้ง (0.88)	ข้าวผัดเขียวหวานกุ้ง (0.87)
ไก่ห่อใบเตย	น้ำใบเตย (0.75)	ผัดไทยห่อไข่ (0.73)	กะเพราไก่ (0.67)	ข้าวราดกะเพราไก่ (0.65)	ไก่ผัดเม็ดมะม่วงหิมพานต์ (0.64)
มะม่วงกวน	ยำมะม่วง (0.71)	มะม่วงมะพร้าวปั่น (0.68)	มะม่วงปั่น (0.66)	สาคูแคนตาลูป (0.57)	เฉาก๊วย ลูกชิด ขนุน (0.57)
ข้าวอบสับปะรด	ข้าวอบสัปปะรด (0.88)	สาคูแคนตาลูป (0.68)	ผัดผักรวมมิตรกุ้ง (0.68)	ข้าวอบเห็ดหอม (0.66)	ยำมะม่วง (0.66)
ต้มแซ่บหมูนุ่ม	ต้มแซ่บหมูเด้ง (0.89)	ต้มแซ่บกระดูกหมู (0.86)	ต้มแซบกระดูกหมูอ่อน (0.83)	แกงป่าหมู (0.73)	แกงเขียวหวานหมู (0.73)
ข้าวราดกะเพราหมูกรอบ	ข้าวราดกะเพราหมู (0.95)	ข้าวราดกะเพราปลาหมึก (0.94)	ข้าวราดกะเพรากุ้ง (0.93)	ข้าวราดกะเพราไก่ (0.93)	ข้าวราดกะเพราหมูชาบู (0.91)
กต.เนื้อสับ	กต.ราดหน้าเนื้อ (0.91)	กต.ผัดซีอิ๊วเนื้อ (0.85)	กต.หมูสับ (0.84)	กต.ผัดขี้เมาหมู (0.81)	กต.ผัดขี้เมาไก่ (0.80)
กุ้งกระเบื้อง	แกงป่ากุ้ง (0.71)	ต้มข่ากุ้ง (0.70)	ข้าวผัดกุ้ง (0.70)	แกงเขียวหวานกุ้ง (0.69)	ทอดมันกุ้ง (0.68)
น้ำแคนตาลูปปั่น	น้ำสับปะรดปั่น (0.94)	น้ำแตงโมปั่น (0.94)	น้ำมะนาวปั่น (0.93)	น้ำมะพร้าวปั่น (0.91)	น้ำแก้วมังกรปั่น (0.79)
น้ำแตงโมปั่น	น้ำแคนตาลูปปั่น (0.94)	น้ำมะนาวปั่น (0.91)	น้ำสับปะรดปั่น (0.91)	น้ำมะพร้าวปั่น (0.89)	น้ำแก้วมังกรปั่น (0.79)
ต้มข่าไก่	แกงป่าไก่ (0.95)	มัสมั่นไก่ (0.95)	แกงเขียวหวานไก่ (0.94)	ข้าวผัดไก่ (0.90)	ต้มยำไก่ (0.90)
กุ้งผัดพริกขี้หนูสวน	กุ้งผัดหน่อไม้ฝรั่ง (0.86)	ผัดผักรวมมิตรกุ้ง (0.83)	กุ้งทอดกระเทียมพริกไทย (0.81)	ข้าวผัดพริกสดกุ้ง (0.81)	กุ้งผัดหนำเลี๊ยบ (0.81)
แกงจืดลูกรอก	แกงจืดไข่น้ำ (0.85)	แกงจืดเต้าหู้ วุ้นเส้น หมูสับ (0.73)	แกงจืดหมูสับสาหร่าย (0.70)	แกงจืดเต้าหู้ หมูสับ สาหร่าย (0.69)	แกงจืดผักกาดขาวหมูสับ (0.65)
กต.ผัดซีอิ๊วหมู	กต.ผัดซีอิ๊วไก่ (0.97)	กต.ผัดแกงเขียวหวานหมู (0.96)	กต.ผัดซีอิ๊วกุ้ง (0.96)	กต.ผัดซีอิ๊วเนื้อ (0.93)	กต.ผัดแกงเขียวหวานไก่ (0.92)
ยำไส้กรอก	ยำกุนเชียง (0.90)	ยำปลาหมึก (0.84)	ยำหอยนางรม (0.82)	ยำทูน่า (0.81)	ยำวุ้นเส้น (0.81)
น้ำกระเจี๊ยบ	น้ำขิง (0.86)	น้ำมะนาว (0.86)	น้ำมะตูม (0.84)	น้ำมะพร้าว (0.81)	น้ำมะนาวโซดา (0.78)
น้ำพริกหนุ่มหมูทอด	ข้าวผัดน้ำพริกหนุ่ม (0.87)	น้ำพริกหนุ่ม (0.83)	ลาบวุ้นเส้นหมู (0.80)	ขาหมูทอดส้มตำ (0.79)	แกงป่าหมู (0.79)
ปลาดุกฟูขี้เมากะเพรากรอบ	ต้มโคล้งปลาดุกฟู (0.79)	ยำปลาดุกฟู (0.78)	ปลาดอรี่ขี้เมากะเพรากรอบ (0.74)	ผัดมะกะโรนีขี้เมากะเพรากรอบหมู (0.73)	ปลากะพงทอดกรอบ (0.69)
แกงเลียงกุ้งสด	ผัดไทยกุ้งสด (0.94)	ส้มตำกุ้งสด (0.92)	ข้าวผัดพริกสดกุ้ง (0.91)	ยำคะน้ากุ้งสด (0.90)	ข้าวผัดพริกสดปลาหมึก (0.85)
ต้มยำกุ้ง	ต้มยำกุ้ง ยอดมะพร้าวอ่อน (0.62)	ต้มยำโป๊ะแตก (0.60)	ต้มยำรวมมิตร (0.58)	กุ้งแช่น้ำปลา (0.56)	แกงเขียวหวานกุ้ง (0.55)
กต.หมูสับ	กต.ผัดขี้เมาหมู (0.91)	กต.ผัดขี้เมาไก่ (0.90)	กต.ผัดขี้เมากุ้ง (0.89)	กต.ทรงเครื่อง (0.89)	กต.ราดหน้าปลาหมึก (0.88)
ข้าวผัดมันกุ้ง	ข้าวผัดกุ้ง (0.84)	ข้าวผัดเขียวหวานกุ้ง (0.82)	ข้าวผัดน้ำพริกเผากุ้ง (0.81)	ข้าวผัดซีอิ๊วกุ้ง (0.78)	ข้าวผัดปลาหมึก (0.77)
ข้าวผัดอเมริกัน	กุ้งแช่น้ำปลา (0.65)	ข้าวผัดกุนเชียง (0.63)	ไข่เจียวหมูสับ (0.63)	ปอเปี๊ยะข้าวเหนียวไก่ทอด (0.61)	ข้าวผัดน้ำพริกเผาเนิ้อ (0.60)
สลัดโรล	สลัดผักสด (0.66)	สลัดปู (0.63)	สลัดไข่ (0.63)	สลัดไก่ (0.62)	ข้าวราดกะเพราเนื้อชัคโรล (0.61)
หมูสะเด็ด	แกงป่าหมู (0.76)	กะเพราหมู (0.74)	ข้าวผัดหมู (0.74)	แกงเขียวหวานหมู (0.73)	หมูสะเต๊ะ (0.73)
แกงส้มชะอมไข่กุ้ง	แกงส้มชะอมไข่ (0.94)	แกงส้มเนื้อปลากะพง ไข่ชะอม (0.90)	แกงป่ากุ้ง (0.82)	ผัดผักรวมมิตรกุ้ง (0.82)	แกงส้มปลาช่อน ทอด (0.81)
ไข่เจียวหมูสับ	ข้าวผัดกุนเชียง (0.65)	ข้าวผัดน้ำพริกเผาหมู (0.65)	ข้าวผัดเขียวหวานหมู (0.65)	ข้าวผัดน้ำพริกเผาเนิ้อ (0.64)	ข้าวผัดหนำเลี้ยบ (0.64)
น้ำมะนาวปั่น	น้ำแคนตาลูปปั่น (0.93)	น้ำมะพร้าวปั่น (0.92)	น้ำสับปะรดปั่น (0.92)	น้ำแตงโมปั่น (0.91)	น้ำมะนาว (0.90)
น้ำแดงมะนาวโซดา	น้ำมะนาวโซดา (0.92)	น้ำเขียวมะนาวโซดา (0.90)	น้ำมะนาว (0.87)	น้ำอัญชัญมะนาวโซดา (0.84)	เต้าหู้น้ำแดง (0.81)
ยำคะน้ากุ้งสด	แกงเลียงกุ้งสด (0.90)	ข้าวผัดพริกสดกุ้ง (0.89)	ผัดไทยกุ้งสด (0.88)	ส้มตำกุ้งสด (0.87)	ข้าวผัดพริกสดปลาหมึก (0.85)
เต้าหู้ผัดพริกกระเทียม	ปลาหมึกผัดกระเทียม (0.93)	หมูกรอบผัดพริกเกลือ (0.90)	กุ้งทอดกระเทียมพริกไทย (0.88)	ข้าวผัดกระเทียม (0.88)	หมูทอดกระเทียมพริกไทย (0.87)
แกงจืดเต้าหู้ หมูสับ สาหร่าย	แกงจืดหมูสับสาหร่าย (0.98)	แกงจืดเต้าหู้ วุ้นเส้น หมูสับ (0.91)	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.87)	แกงจืดเต้าหู้สาหร่ายเจ (0.87)	แกงจืดผักกาดขาวหมูสับ (0.80)
คะน้าหมูกรอบ	คะน้าปลาเค็ม (0.87)	กะเพราหมูกรอบ (0.83)	ถั่วฝักยาวผัดพริกขิงหมูกรอบ (0.83)	ผัดผักรวมมิตรหมูกรอบ (0.79)	ยำคะน้ากุ้งสด (0.72)
ปลากะพงทอดน้ำปลา	ปลากะพงทอดกระเทียม (0.92)	แกงส้มเนื้อปลากะพง ทอด (0.89)	ปลากะพงผัดฉ่า (0.89)	เนื้อปลากะพงทอดพริกไทยดำ (0.89)	ปลากะพงสามรส (0.89)
ถั่วฝักยาวผัดพริกขิงหมูกรอบ	ผัดผักรวมมิตรหมูกรอบ (0.91)	ปลาหมึกผัดไข่เค็ม (0.87)	หมูกรอบผัดพริกเกลือ (0.87)	กะหล่ำปลีผัดน้ำปลา (0.86)	ผัดผักรวมมิตร (0.84)
ยำวุ้นเส้น	ยำกุนเชียง (0.86)	ยำวุ้นเส้นพม่า (0.85)	ยำวุ้นเส้นเจ (0.84)	ลาบวุ้นเส้นกุ้ง (0.82)	แกงจืดเต้าหู้ วุ้นเส้น หมูสับ (0.81)
ปีกไก่ทอดสมุนไพร	ไก่ทอดกระเทียมพริกไทย (0.63)	ปอเปี๊ยะข้าวเหนียวไก่ทอด (0.60)	ข้าวหน้าไก่ทอดกระเทียม (0.58)	กะเพราไก่ (0.55)	โรตีแกงเขียวหวานไก่ (0.55)
ออส่วนกระทะร้อน	กุ้งส่วนกะทะร้อน (0.75)	หอยแมลงภู่นิวซีแลนด์ส่วนกะทะร้อน (0.69)	น้ำตะไคร้ร้อน (0.60)	น้ำขิงร้อน (0.52)	ข้าวราดไข่เจียวเนื้อปู (0.48)
แกงส้มปลาช่อน ทอด	ปลาช่อนทอดส้มตำ (0.91)	แกงส้มเนื้อปลากะพง ทอด (0.87)	ปลาทูทอด (0.84)	ข้าวผัดน้ำพริกกะปิปลาทูทอด (0.84)	ลาบทอด (0.84)
ยำตะไคร้	ยำกุนเชียง (0.85)	ยำมะม่วง (0.82)	ยำปลาหมึก (0.79)	ยำวุ้นเส้น (0.78)	ยำหอยนางรม (0.78)
ยำวุ้นเส้นพม่า	ยำวุ้นเส้น (0.85)	ลาบวุ้นเส้นกุ้ง (0.73)	ยำกุนเชียง (0.73)	ยำวุ้นเส้นเจ (0.71)	ลาบวุ้นเส้นหมู (0.70)
ปลากะพงนึ่งมะนาว	เนื้อปลากะพงนึ่งมะนาว (0.95)	ปลากะพงนึ่งซีอิ๊ว (0.92)	ปลาช่อนนึ่งมะนาว (0.92)	ปลาหมึกนึ่งมะนาว (0.91)	ปลากะพงนึ่งบ๊วย (0.90)
น้ำอัญชัญมะนาวโซดา	น้ำอัญชัญมะนาว (0.95)	น้ำมะนาวโซดา (0.88)	น้ำอัญชัญ (0.85)	น้ำเขียวมะนาวโซดา (0.85)	น้ำแดงมะนาวโซดา (0.84)
กุ้งผัดหนำเลี๊ยบ	กุ้งผัดหน่อไม้ฝรั่ง (0.89)	ผัดผักรวมมิตรกุ้ง (0.85)	ข้าวผัดเขียวหวานกุ้ง (0.83)	ข้าวผัดน้ำพริกเผากุ้ง (0.83)	ข้าวผัดกุ้ง (0.83)
ข้าวผัดกุ้ง	ข้าวผัดเขียวหวานกุ้ง (0.98)	ข้าวผัดน้ำพริกเผากุ้ง (0.97)	ข้าวผัดซีอิ๊วกุ้ง (0.93)	แกงเขียวหวานกุ้ง (0.92)	ต้มข่ากุ้ง (0.92)
กต.หลอดลุยสวน	กต.หลอดทรงเครื่อง (0.79)	กต.หลอดเจ (0.75)	กต.หมูสับ (0.72)	กต.ผัดขี้เมาหมู (0.71)	กต.ผัดขี้เมาไก่ (0.71)
คอหมูย่าง	ส้มตำคอหมูย่าง (0.95)	ยำคอหมูย่าง (0.95)	ข้าวหน้าคอหมูย่าง ไข่ดองซีอิ๊ว (0.79)	หมูสะเต๊ะ (0.70)	แกงป่าหมู (0.70)
เมี่ยงชะพลู	เมี่ยงเห็ด (0.73)	กะเพราหมู (0.65)	กะเพรากุ้ง (0.65)	ผัดผักรวมมิตรหมู (0.65)	ยำตะไคร้ (0.64)
ทอดมันข้าวโพดกุ้งสับ	ไข่เจียวกุ้งสับ (0.88)	ทอดมันกุ้ง (0.86)	กุ้งผัดหน่อไม้ฝรั่ง (0.82)	ข้าวราดกะเพรากุ้ง (0.80)	ข้าวผัดเขียวหวานกุ้ง (0.80)
ผัดผักกะเฉดไฟแดง	ผัดผักกะเฉด (0.94)	เส้นหมี่ผัดกะเฉด (0.88)	ยำผักกะเฉด (0.88)	เส้นหมี่ผัดกะเฉดหมู (0.86)	เส้นหมี่ผัดกะเฉดไก่ (0.86)
ปอเปี๊ยะข้าวเหนียวไก่ทอด	โรตีแกงเขียวหวานหมู (0.79)	ข้าวผัดน้ำพริกเผาหมู (0.78)	ข้าวผัดเขียวหวานหมู (0.76)	โรตีแกงเขียวหวานไก่ (0.76)	ข้าวผัดน้ำพริกเผาไก่ (0.75)
แกงจืดไข่น้ำ	แกงจืดลูกรอก (0.85)	แกงจืดเต้าหู้ วุ้นเส้น หมูสับ (0.83)	แกงจืดหมูสับสาหร่าย (0.81)	แกงจืดเต้าหู้ หมูสับ สาหร่าย (0.80)	แกงจืดผักกาดขาวหมูสับ (0.73)
แกงเผ็ดยอดมะพร้าวกุ้ง	แกงเผ็ดยอดมะพร้าวหมู (0.92)	ต้มยำกุ้ง ยอดมะพร้าวอ่อน (0.79)	แกงเผ็ดยอดมะพร้าวเจ (0.78)	แกงเขียวหวานยอดมะพร้าวเจ (0.77)	แกงเขียวหวานกุ้ง (0.75)
น้ำพริกกะปิปลาทูทอด	ข้าวผัดน้ำพริกกะปิปลาทูทอด (0.98)	น้ำพริกกะปิ (0.89)	ปลาทูทอด (0.85)	แกงส้มปลาช่อน ทอด (0.83)	ปลาช่อนทอดส้มตำ (0.82)
มะม่วงมะพร้าวปั่น	มะม่วงปั่น (0.92)	น้ำมะพร้าวปั่น (0.83)	มะยงชิดปั่น (0.76)	น้ำมะนาวปั่น (0.74)	น้ำสับปะรดปั่น (0.72)
ทอดมันกุ้ง	แกงป่ากุ้ง (0.92)	ต้มข่ากุ้ง (0.92)	แกงเขียวหวานกุ้ง (0.92)	ข้าวผัดกุ้ง (0.91)	ข้าวผัดเขียวหวานกุ้ง (0.90)
เบียร์ไฮเนเก้น	เบียร์สิงห์ (0.74)	กาแฟเย็น (0.47)	กาแฟร้อน (0.44)	ไอศครีมชาไทย (0.40)	น้ำส้มคั้น (0.38)
แกงเขียวหวานลูกชิ้นปลากราย	ข้าวผัดเขียวหวานปลากราย (0.91)	ขนมจีบปลากราย (0.87)	ปลากะพงผัดฉ่า (0.77)	ปลากะพงสามรส (0.76)	ปลากะพงทอดน้ำปลา (0.75)
น้ำมะพร้าวปั่น	น้ำมะนาวปั่น (0.92)	น้ำสับปะรดปั่น (0.91)	น้ำแคนตาลูปปั่น (0.91)	น้ำมะพร้าว (0.90)	น้ำแตงโมปั่น (0.89)
หอยแมลงภู่นิวซีแลนด์ส่วนกะทะร้อน	กุ้งส่วนกะทะร้อน (0.84)	หอยแมลงภู่นิวซีแลนด์อบหม้อดิน (0.79)	หอยแมลงภู่นิวซีแลนด์ผัดผงกะหรี่ (0.72)	หอยแมลงภู่นิวซีแลนด์อบเนยกระเทียม (0.72)	เนื้อออสเตรเลียผัดน้ำมันหอย (0.71)
ชามะนาว	น้ำผึ้งมะนาว (0.73)	ชาดำเย็น (0.66)	น้ำอัญชัญมะนาวโซดา (0.66)	ไก่มะนาว (0.64)	ชาจีน (0.62)
จุ๋ยก๊วย	มะพร้าวอ่อนหวานเย็น (0.36)	ข้าวผัดอเมริกัน (0.36)	ปอเปี๊ยะข้าวเหนียวไก่ทอด (0.35)	ไอศครีมวานิลา (0.32)	ไอศครีมชาไทย (0.32)
ชาจีน	ชาไทย (0.80)	เฉาก๊วย ชาไทย (0.78)	ไอศครีมชาไทย (0.75)	ชามะนาว (0.62)	ชาดำเย็น (0.48)
เต้าหู้น้ำแดง	เต้าหู้น้ำแดงเจ (0.89)	น้ำแดงมะนาวโซดา (0.81)	น้ำปลาเห็ดฟาง (0.76)	น้ำขิง (0.76)	น้ำมะนาว (0.75)
ปลาดอรี่ขี้เมากะเพรากรอบ	ปลาดุกฟูขี้เมากะเพรากรอบ (0.74)	ปลากะพงทอดกรอบ (0.71)	ข้าวผัดเขียวหวานปลากราย (0.70)	ผัดมะกะโรนีขี้เมากะเพรากรอบหมู (0.68)	แกงเขียวหวานลูกชิ้นปลากราย (0.66)
เส้นหมี่ผัดกะเฉดกุ้ง	เส้นหมี่ผัดกะเฉด (0.96)	เส้นหมี่ผัดกะเฉดหมู (0.95)	เส้นหมี่ผัดกะเฉดไก่ (0.95)	เส้นหมี่ผัดกะเฉดทะเล (0.91)	ผัดผักกะเฉด (0.90)
ซี่โครงขลุกขลิก	โรตีแกงเขียวหวานเนื้อ (0.60)	ขาหมูทอดส้มตำ (0.60)	แกงเขียวหวานเนื้อพริกขี้หนู (0.59)	ข้าวผัดเขียวหวานเนื้อ (0.59)	ยำคอหมูย่าง (0.58)
ทะเลรวมผัดฉ่า	ข้าวผัดทะเล (0.68)	ห่อหมกทะเล (0.68)	ยำทะเล (0.67)	ผัดไทยทะเล (0.65)	ไข่ตุ๋นต้มยำทะเลหม้อไฟ (0.60)
น้ำส้มปั่น	มะยงชิดปั่น (0.83)	มะม่วงปั่น (0.80)	น้ำแคนตาลูปปั่น (0.76)	น้ำมะนาวปั่น (0.75)	น้ำมะพร้าวปั่น (0.74)
