label	1st	2nd	3rd	4th	5th
ข้าวผัดเขียวหวานเนื้อ	แกงเขียวหวานเนื้อ (0.83)	โรตีแกงเขียวหวานเนื้อ (0.82)	ข้าวผัดพริกสดเนื้อ (0.80)	แกงเขียวหวานเนื้อพริกขี้หนู (0.78)	แกงป่าเนื้อ (0.78)
ข้าวผัดเขียวหวานไก่	ข้าวผัดไก่ (0.98)	ข้าวผัดน้ำพริกเผาไก่ (0.95)	ข้าวผัดซีอิ๊วไก่ (0.87)	กต.ผัดแกงเขียวหวานไก่ (0.85)	แกงเขียวหวานไก่ (0.82)
ข้าวราดหน้าเนื้อน้ำมันหอย	ข้าวราดหน้าหมูน้ำมันหอย (0.81)	เนื้อออสเตรเลียผัดน้ำมันหอย (0.74)	ข้าวราดกะเพราเนื้อปลากะพง (0.71)	ข้าวราดไข่เจียวเนื้อปู (0.65)	หมูน้ำมันหอย (0.62)
ข้าวหน้าไก่	ข้าวราดกะเพราไก่ (0.64)	ข้าวหน้าไก่ทอดกระเทียม (0.64)	ข้าวหน้าหมูทอดกระเทียม (0.60)	ข้าวหน้าคอหมูย่าง ไข่ดองซีอิ๊ว (0.57)	ข้าวหน้ากุ้งทอดกระเทียม (0.56)
ข้าวอบเห็ดหอม	เมี่ยงเห็ด (0.65)	ต้มโคล้งเห็ดฟาง (0.59)	ยำเห็ดฟาง (0.56)	ผัดเห็ดเข็มทองน้ำมันหอย (0.45)	เต้าหู้ผัดพริกกระเทียม (0.41)
ผัดไทยกุ้งสด	ส้มตำกุ้งสด (0.93)	แกงเลียงกุ้งสด (0.92)	ข้าวผัดพริกสดกุ้ง (0.83)	ยำคะน้ากุ้งสด (0.81)	ทอดมันกุ้ง (0.75)
ยำปลาดุกฟู	ต้มโคล้งปลาดุกฟู (0.75)	ยำปลาหมึก (0.52)	ยำกุนเชียง (0.50)	ยำไส้กรอก (0.49)	ยำตะไคร้ (0.47)
ข้าวผัดน้ำพริกกะปิปลาทูทอด	น้ำพริกกะปิปลาทูทอด (0.94)	ปลาช่อนทอดส้มตำ (0.73)	ข้าวผัดน้ำพริกเผาปลาหมึก (0.73)	แกงส้มปลาช่อน ทอด (0.73)	ปลาทูทอด (0.71)
ยำถั่วพลู	ยำมะม่วง (0.61)	ยำตะไคร้ (0.58)	ยำกุนเชียง (0.57)	ยำไส้กรอก (0.55)	ยำหอยนางรม (0.52)
ต้มยำเอ็นหมู	ยำเอ็นหมู (0.87)	แกงเขียวหวานหมู (0.73)	แกงป่าหมู (0.71)	กต.ผัดแกงเขียวหวานหมู (0.70)	ผัดไทยหมู (0.67)
กุ้งผัดหน่อไม้ฝรั่ง	กุ้งผัดหนำเลี๊ยบ (0.90)	ผัดผักรวมมิตรกุ้ง (0.89)	ผัดมะกะโรนีกุ้ง (0.86)	กุ้งผัดเม็ดมะม่วงหิมพานต์ (0.86)	กุ้งผัดพริกขี้หนูสวน (0.86)
ไก่ห่อใบเตย	กะเพราไก่ (0.49)	ผัดไทยห่อไข่ (0.44)	ข้าวราดกะเพราไก่ (0.42)	ไก่ผัดเม็ดมะม่วงหิมพานต์ (0.40)	แกงป่าไก่ (0.40)
มะม่วงกวน	ยำมะม่วง (0.38)	มะม่วงมะพร้าวปั่น (0.36)	มะม่วงปั่น (0.30)	สาคูแคนตาลูป (0.17)	เฉาก๊วย ลูกชิด ขนุน (0.15)
ข้าวอบสับปะรด	ข้าวอบสัปปะรด (0.78)	สาคูแคนตาลูป (0.37)	ผัดผักรวมมิตรกุ้ง (0.34)	ข้าวอบเห็ดหอม (0.32)	ทอดมันข้าวโพดกุ้งสับ (0.32)
ต้มแซ่บหมูนุ่ม	ต้มแซ่บหมูเด้ง (0.85)	ต้มแซ่บกระดูกหมู (0.80)	ต้มแซบกระดูกหมูอ่อน (0.74)	กต.ราดหน้าหมูนุ่ม (0.70)	แกงป่าหมู (0.62)
ข้าวราดกะเพราหมูกรอบ	ข้าวราดกะเพราปลาหมึก (0.90)	ข้าวราดกะเพราหมู (0.88)	ข้าวราดกะเพราไก่ (0.85)	ข้าวราดกะเพรากุ้ง (0.84)	ข้าวราดกะเพราหมูชาบู (0.84)
ก๋วยเตี๋ยวเนื้อสับ	กต.ราดหน้าเนื้อ (0.84)	ลาบเนื้อ (0.70)	แกงป่าเนื้อ (0.70)	โรตีแกงเขียวหวานเนื้อ (0.69)	แกงเขียวหวานเนื้อ (0.69)
กุ้งกระเบื้อง	แกงป่ากุ้ง (0.71)	ต้มข่ากุ้ง (0.70)	ทอดมันกุ้ง (0.67)	แกงเขียวหวานกุ้ง (0.65)	กุ้งแกะ 5 ตัว (0.63)
น้ำแคนตาลูปปั่น	น้ำสับปะรดปั่น (0.93)	น้ำแตงโมปั่น (0.93)	น้ำลิ้นจี่ปั่น (0.92)	น้ำมะนาวปั่น (0.88)	น้ำมะพร้าวปั่น (0.87)
น้ำแตงโมปั่น	น้ำแคนตาลูปปั่น (0.93)	น้ำสับปะรดปั่น (0.90)	น้ำลิ้นจี่ปั่น (0.89)	น้ำมะนาวปั่น (0.86)	น้ำมะพร้าวปั่น (0.85)
ต้มข่าไก่	มัสมั่นไก่ (0.95)	แกงป่าไก่ (0.95)	แกงเขียวหวานไก่ (0.91)	กต.ผัดแกงเขียวหวานไก่ (0.85)	ต้มยำไก่ (0.84)
กุ้งผัดพริกขี้หนูสวน	กุ้งผัดหน่อไม้ฝรั่ง (0.86)	กุ้งผัดหนำเลี๊ยบ (0.81)	ผัดผักรวมมิตรกุ้ง (0.80)	กุ้งผัดเม็ดมะม่วงหิมพานต์ (0.76)	กุ้งผัดผงกะหรี่ (0.74)
แกงจืดลูกรอก	แกงจืดไข่น้ำ (0.78)	แกงจืดเต้าหู้ วุ้นเส้น หมูสับ (0.50)	แกงจืดหมูสับสาหร่าย (0.48)	แกงจืดรวมมิตร (0.46)	แกงจืดเต้าหู้ หมูสับ สาหร่าย (0.45)
ก๋วยเตี๋ยวผัดซีอิ๊วหมู	ข้าวผัดซีอิ๊วหมู (0.92)	กต.ผัดแกงเขียวหวานหมู (0.79)	ข้าวผัดน้ำพริกเผาหมู (0.77)	แกงเขียวหวานหมู (0.77)	ข้าวผัดหมู (0.76)
ยำไส้กรอก	ยำกุนเชียง (0.87)	ยำหอยนางรม (0.77)	ยำปลาหมึก (0.75)	ยำทูน่า (0.75)	ยำวุ้นเส้น (0.72)
น้ำกระเจี๊ยบ	น้ำขิง (0.84)	น้ำมะตูม (0.81)	น้ำมะนาว (0.79)	น้ำมะพร้าว (0.74)	น้ำปลาเห็ดฟาง (0.72)
น้ำพริกหนุ่มหมูทอด	ขาหมูทอดส้มตำ (0.76)	ลาบวุ้นเส้นหมู (0.68)	แกงเขียวหวานหมู (0.68)	กต.ผัดแกงเขียวหวานหมู (0.68)	แกงป่าหมู (0.67)
ปลาดุกฟูขี้เมากะเพรากรอบ	ปลาดอรี่ขี้เมากะเพรากรอบ (0.57)	ผัดมะกะโรนีขี้เมากะเพรากรอบกุ้ง (0.53)	ผัดมะกะโรนีขี้เมากะเพรากรอบหมู (0.52)	ต้มโคล้งปลาดุกฟู (0.49)	ยำปลาดุกฟู (0.46)
แกงเลียงกุ้งสด	ผัดไทยกุ้งสด (0.92)	ส้มตำกุ้งสด (0.90)	ข้าวผัดพริกสดกุ้ง (0.83)	ยำคะน้ากุ้งสด (0.82)	แกงป่ากุ้ง (0.73)
ต้มยำกุ้ง	ต้มยำโป๊ะแตก (0.21)	ต้มยำกุ้ง ยอดมะพร้าวอ่อน (0.19)	ต้มยำรวมมิตร (0.17)	กต.ต้มยำกุ้งน้ำข้น (0.15)	กต.ผัดแกงเขียวหวานกุ้ง (0.15)
ก๋วยเตี๋ยวหมูสับ	กต.ผัดขี้เมาหมู (0.77)	กต.ราดหน้าปลาหมึก (0.76)	กต.ผัดขี้เมาไก่ (0.73)	กต.ทรงเครื่อง (0.73)	กต.ราดหน้ากุ้ง (0.71)
ข้าวผัดมันกุ้ง	ข้าวผัดกุ้ง (0.86)	ข้าวผัดเขียวหวานกุ้ง (0.84)	ข้าวผัดน้ำพริกเผากุ้ง (0.82)	ข้าวผัดซีอิ๊วกุ้ง (0.77)	ต้มข่ากุ้ง (0.73)
ข้าวผัดอเมริกัน	กุ้งแช่น้ำปลา (0.30)	ไข่เจียวหมูสับ (0.26)	ข้าวผัดกุนเชียง (0.25)	ข้าวผัดหมูยอ (0.23)	ข้าวผัดน้ำพริกเผาเนิ้อ (0.22)
สลัดโรล	สลัดทูน่า (0.53)	สลัดแฮม (0.51)	สลัดผักสด (0.44)	สลัดไข่ (0.30)	สลัดปู (0.30)
หมูสะเด็ด	แกงป่าหมู (0.76)	หมูสะเต๊ะ (0.73)	หมูแดดเดียว (0.71)	แกงเขียวหวานหมู (0.70)	ผัดไทยหมู (0.68)
แกงส้มชะอมไข่กุ้ง	แกงส้มชะอมไข่ (0.82)	แกงส้มเนื้อปลากะพง ไข่ชะอม (0.76)	แกงป่ากุ้ง (0.72)	ทอดมันกุ้ง (0.71)	แกงเขียวหวานกุ้ง (0.71)
ไข่เจียวหมูสับ	ข้าวผัดหมูยอ (0.32)	ข้าวผัดกุนเชียง (0.32)	ข้าวผัดน้ำพริกเผาเนิ้อ (0.31)	ข้าวผัดน้ำพริกเผาหมู (0.28)	ข้าวผัดหนำเลี้ยบ (0.28)
น้ำมะนาวปั่น	น้ำแคนตาลูปปั่น (0.88)	น้ำสับปะรดปั่น (0.87)	น้ำมะพร้าวปั่น (0.87)	น้ำแตงโมปั่น (0.86)	น้ำลิ้นจี่ปั่น (0.86)
น้ำแดงมะนาวโซดา	น้ำมะนาวโซดา (0.89)	น้ำเขียวมะนาวโซดา (0.87)	น้ำมะนาว (0.82)	น้ำอัญชัญมะนาวโซดา (0.77)	น้ำมะนาวปั่น (0.68)
ยำคะน้ากุ้งสด	แกงเลียงกุ้งสด (0.82)	ข้าวผัดพริกสดกุ้ง (0.82)	ผัดไทยกุ้งสด (0.81)	ส้มตำกุ้งสด (0.80)	ผัดผักรวมมิตรกุ้ง (0.72)
เต้าหู้ผัดพริกกระเทียม	ปลาหมึกผัดกระเทียม (0.89)	หมูกรอบผัดพริกเกลือ (0.84)	กะหล่ำปลีผัดน้ำปลา (0.80)	ข้าวผัดกระเทียม (0.74)	ปลาหมึกผัดไข่เค็ม (0.73)
แกงจืดเต้าหู้หมูสับสาหร่าย	แกงจืดหมูสับสาหร่าย (0.95)	แกงจืดเต้าหู้ วุ้นเส้น หมูสับ (0.84)	แกงจืดผักกาดขาวหมูสับ (0.65)	แกงจืดเต้าหู้วุ้นเส้น สาหร่ายเจ (0.63)	แกงจืดไข่น้ำ (0.61)
คะน้าหมูกรอบ	คะน้าปลาเค็ม (0.75)	กะเพราหมูกรอบ (0.65)	ถั่วฝักยาวผัดพริกขิงหมูกรอบ (0.61)	ผัดผักรวมมิตรหมูกรอบ (0.57)	แกงจืดเต้าหู้ วุ้นเส้น หมูสับ (0.42)
ปลากะพงทอดน้ำปลา	ปลากะพงทอดกระเทียม (0.89)	ปลากะพงทอดกรอบ (0.84)	แกงส้มเนื้อปลากะพง ทอด (0.81)	ปลากะพงผัดฉ่า (0.81)	เนื้อปลากะพงทอดพริกไทยดำ (0.81)
ถั่วฝักยาวผัดพริกขิงหมูกรอบ	ผัดผักรวมมิตรหมูกรอบ (0.86)	กะหล่ำปลีผัดน้ำปลา (0.82)	หมูกรอบผัดพริกเกลือ (0.81)	ปลาหมึกผัดไข่เค็ม (0.81)	ผัดผักรวมมิตร (0.77)
ยำวุ้นเส้น	ยำวุ้นเส้นพม่า (0.82)	ยำกุนเชียง (0.78)	ยำไส้กรอก (0.72)	ยำหอยนางรม (0.69)	ยำตะไคร้ (0.68)
ปีกไก่ทอดสมุนไพร	ปีกไก่ทอด (0.69)	ไก่ทอดกระเทียมพริกไทย (0.27)	ปอเปี๊ยะข้าวเหนียวไก่ทอด (0.25)	ข้าวหน้าไก่ทอดกระเทียม (0.16)	โรตีแกงเขียวหวานไก่ (0.14)
ออส่วนกระทะร้อน	กุ้งส่วนกะทะร้อน (0.44)	หอยแมลงภู่นิวซีแลนด์ส่วนกะทะร้อน (0.39)	น้ำตะไคร้ร้อน (0.29)	โอวัลตินร้อน (0.25)	น้ำมะตูมร้อน (0.10)
แกงส้มปลาช่อนทอด	ปลาช่อนทอดส้มตำ (0.85)	ปลาทูทอด (0.75)	ลาบทอด (0.74)	ข้าวผัดน้ำพริกกะปิปลาทูทอด (0.73)	น้ำพริกกะปิปลาทูทอด (0.72)
ยำตะไคร้	ยำกุนเชียง (0.81)	ยำมะม่วง (0.76)	ยำหอยนางรม (0.72)	ยำไส้กรอก (0.70)	ยำวุ้นเส้น (0.68)
ยำวุ้นเส้นพม่า	ยำวุ้นเส้น (0.82)	ยำกุนเชียง (0.62)	ยำตะไคร้ (0.56)	ยำไส้กรอก (0.55)	ยำหอยนางรม (0.54)
ปลากะพงนึ่งมะนาว	เนื้อปลากะพงนึ่งมะนาว (0.87)	ปลากะพงนึ่งซีอิ๊ว (0.86)	ปลากะพงนึ่งบ๊วย (0.85)	ปลาช่อนนึ่งมะนาว (0.80)	ปลาหมึกนึ่งมะนาว (0.77)
น้ำอัญชัญมะนาวโซดา	น้ำอัญชัญมะนาว (0.93)	น้ำมะนาวโซดา (0.83)	น้ำเขียวมะนาวโซดา (0.79)	น้ำแดงมะนาวโซดา (0.77)	น้ำมะนาว (0.75)
กุ้งผัดหนำเลี๊ยบ	กุ้งผัดหน่อไม้ฝรั่ง (0.90)	ผัดผักรวมมิตรกุ้ง (0.83)	ผัดมะกะโรนีกุ้ง (0.82)	กุ้งผัดพริกขี้หนูสวน (0.81)	กุ้งผัดผงกะหรี่ (0.81)
ข้าวผัดกุ้ง	ข้าวผัดเขียวหวานกุ้ง (0.98)	ข้าวผัดน้ำพริกเผากุ้ง (0.97)	ข้าวผัดซีอิ๊วกุ้ง (0.90)	กต.ผัดแกงเขียวหวานกุ้ง (0.87)	แกงเขียวหวานกุ้ง (0.87)
ก๋วยเตี๋ยวหลอดลุยสวน	กต.หลอดทรงเครื่อง (0.56)	กต.หมูสับ (0.37)	กต.ผัดขี้เมาหมู (0.36)	กต.ทรงเครื่อง (0.36)	กต.ราดหน้าทะเล (0.35)
คอหมูย่าง	ส้มตำคอหมูย่าง (0.91)	ยำคอหมูย่าง (0.88)	ข้าวหน้าคอหมูย่าง ไข่ดองซีอิ๊ว (0.62)	หมูสะเต๊ะ (0.61)	แกงป่าหมู (0.59)
เมี่ยงชะพลู	เมี่ยงเห็ด (0.37)	กะเพราหมูกรอบ (0.28)	ผัดผักรวมมิตรหมู (0.28)	กะเพราหมู (0.27)	กะเพรากุ้ง (0.26)
ทอดมันข้าวโพดกุ้งสับ	ไข่เจียวกุ้งสับ (0.84)	ทอดมันกุ้ง (0.81)	แกงป่ากุ้ง (0.73)	ต้มข่ากุ้ง (0.73)	แกงเขียวหวานกุ้ง (0.73)
ผัดผักกะเฉดไฟแดง	ผัดผักกะเฉด (0.93)	เส้นหมี่ผัดกะเฉด (0.83)	เส้นหมี่ผัดกะเฉดไก่ (0.76)	ยำผักกะเฉด (0.75)	เส้นหมี่ผัดกะเฉดหมู (0.75)
ปอเปี๊ยะข้าวเหนียวไก่ทอด	โรตีแกงเขียวหวานหมู (0.56)	ข้าวผัดน้ำพริกเผาหมู (0.55)	ข้าวผัดหมูยอ (0.53)	ข้าวผัดเขียวหวานหมู (0.52)	กต.ผัดแกงเขียวหวานหมู (0.52)
แกงจืดไข่น้ำ	แกงจืดลูกรอก (0.78)	แกงจืดรวมมิตร (0.68)	แกงจืดเต้าหู้ วุ้นเส้น หมูสับ (0.66)	แกงจืดหมูสับสาหร่าย (0.65)	แกงจืดเต้าหู้ หมูสับ สาหร่าย (0.61)
แกงเผ็ดยอดมะพร้าวกุ้ง	แกงเผ็ดยอดมะพร้าวหมู (0.74)	แกงเผ็ดยอดมะพร้าวไก่ (0.73)	แกงป่ากุ้ง (0.62)	แกงเขียวหวานกุ้ง (0.61)	ทอดมันกุ้ง (0.60)
น้ำพริกกะปิปลาทูทอด	ข้าวผัดน้ำพริกกะปิปลาทูทอด (0.94)	ปลาทูทอด (0.75)	แกงส้มปลาช่อน ทอด (0.72)	น้ำพริกกะปิ (0.72)	ปลาช่อนทอดส้มตำ (0.72)
มะม่วงมะพร้าวปั่น	มะม่วงปั่น (0.82)	น้ำมะพร้าวปั่น (0.61)	มะยงชิดปั่น (0.53)	น้ำส้มปั่น (0.48)	น้ำมะนาวปั่น (0.45)
ทอดมันกุ้ง	แกงป่ากุ้ง (0.92)	ต้มข่ากุ้ง (0.92)	แกงเขียวหวานกุ้ง (0.90)	กต.ผัดแกงเขียวหวานกุ้ง (0.86)	ข้าวผัดกุ้ง (0.85)
เบียร์ไฮเนเก้น	เบียร์สิงห์ (0.50)	สลัดแฮม (0.00)	หอยแมลงภู่นิวซีแลนด์อบเนยกระเทียม (0.00)	กต.หลอดทรงเครื่อง (0.00)	ปลาหมึกทอดกระเทียมพริกไทย (0.00)
แกงเขียวหวานลูกชิ้นปลากราย	โรตีแกงเขียวหวานลูกชิ้นปลากราย (0.95)	ข้าวผัดเขียวหวานปลากราย (0.85)	แกงป่าปลากราย (0.85)	ขนมจีบปลากราย (0.80)	ปลากะพงผัดฉ่า (0.62)
น้ำมะพร้าวปั่น	น้ำสับปะรดปั่น (0.87)	น้ำแคนตาลูปปั่น (0.87)	น้ำมะนาวปั่น (0.87)	น้ำลิ้นจี่ปั่น (0.85)	น้ำแตงโมปั่น (0.85)
หอยแมลงภู่นิวซีแลนด์ส่วนกะทะร้อน	กุ้งส่วนกะทะร้อน (0.64)	หอยแมลงภู่นิวซีแลนด์อบหม้อดิน (0.61)	หอยแมลงภู่นิวซีแลนด์อบเนยกระเทียม (0.46)	หอยแมลงภู่นิวซีแลนด์ผัดผงกะหรี่ (0.42)	เนื้อออสเตรเลียผัดน้ำมันหอย (0.41)
ชามะนาว	น้ำผึ้งมะนาว (0.55)	น้ำอัญชัญมะนาวโซดา (0.34)	ชาดำเย็น (0.34)	ไก่มะนาว (0.30)	ชาจีน (0.27)
จุ๋ยก๊วย	สลัดแฮม (0.00)	หอยแมลงภู่นิวซีแลนด์อบเนยกระเทียม (0.00)	กต.หลอดทรงเครื่อง (0.00)	ปลาหมึกทอดกระเทียมพริกไทย (0.00)	พล่ากุ้ง (0.00)
ชาจีน	ชาไทย (0.62)	เฉาก๊วย ชาไทย (0.60)	ไอศครีมชาไทย (0.52)	ชามะนาว (0.27)	ชาดำเย็น (0.07)
เต้าหู้น้ำแดง	น้ำแดงมะนาวโซดา (0.67)	เต้าหู้น้ำแดงเจ (0.65)	น้ำกระเจี๊ยบ (0.65)	น้ำขิง (0.65)	น้ำปลาเห็ดฟาง (0.64)
ปลาดอรี่ขี้เมากะเพรากรอบ	ปลาดุกฟูขี้เมากะเพรากรอบ (0.57)	ข้าวผัดเขียวหวานปลากราย (0.54)	ปลากะพงทอดกรอบ (0.53)	โรตีแกงเขียวหวานลูกชิ้นปลากราย (0.51)	ผัดมะกะโรนีขี้เมากะเพรากรอบกุ้ง (0.49)
เส้นหมี่ผัดกะเฉดกุ้ง	เส้นหมี่ผัดกะเฉด (0.88)	เส้นหมี่ผัดกะเฉดหมู (0.87)	เส้นหมี่ผัดกะเฉดไก่ (0.86)	เส้นหมี่ผัดกะเฉดทะเล (0.80)	ผัดผักกะเฉด (0.80)
ซี่โครงขลุกขลิก	ขาหมูทอดส้มตำ (0.19)	โรตีแกงเขียวหวานเนื้อ (0.19)	แกงเขียวหวานเนื้อพริกขี้หนู (0.18)	ยำเนื้อออสเตรเลียย่าง (0.17)	ข้าวผัดเขียวหวานเนื้อ (0.17)
ทะเลรวมผัดฉ่า	ห่อหมกทะเล (0.45)	แกงส้มทะเล (0.40)	ผัดไทยทะเล (0.37)	ข้าวผัดทะเล (0.36)	ยำทะเล (0.34)
น้ำส้มปั่น	มะยงชิดปั่น (0.75)	มะม่วงปั่น (0.67)	น้ำแคนตาลูปปั่น (0.48)	มะม่วงมะพร้าวปั่น (0.48)	น้ำมะนาวปั่น (0.46)
